String	Translation
"Oh, sure, I studied English in my school days. But it wasn't until two or three years ago that I really started taking it seriously."	勿論{もちろん} 学生時代 に 英語 は 勉強{勉強した} けど 本格的{本格的に} 始める{始めた} の は 此処{ここ} 年 位{くらい} 前 です
Will it clear up this afternoon?	午後 は 晴れる だろうか
Did you receive my letter?	手紙 は 届く{届きました} か
He came tumbling after.	彼 は 蹌踉めく{よろめき} 乍ら{ながら} 後 から 付いてくる{ついてきた}
May I ask you to call me back later?	後で もう一度 掛け直す{かけ直して} 頂ける{いただけます} か
Visitors to Switzerland admire the Alps.	瑞西{スイス} を 訪れる 人{ひと} は アルプス に 感嘆 為る{する}
Why did you use up all the money?	君 は 何故{なぜ} お金 を 使い果たす{使い果たした} の か
A stranger asked the girl whether her father was at home or at his office.	お父さん は 御{ご} 在宅 か ね 其れ共{それとも} 会社 か ね と 見知らぬ 人 が 其の{その} 少女 に 尋ねる{尋ねた}
She is confident of her son's success.	彼女 は 息子 の 成功 を 確信 為る{している}
He is hunted by the police.	彼 は 警察 に 追う{追われている}
He has just as many books as his father does.	彼 は 父 と 同じくらい 沢山{たくさん} の 本 を 持つ{持っている}
He knows better than to fight with his boss.	彼 は 上司 と 喧嘩{けんか} を 為る{する} 程{ほど} 愚か では無い{ではない}
He failed to follow our advice.	彼 は 我々 の 忠告 を 聞き入れる{聞きいれなかった}
"Even if it takes you three years, you must accomplish your goal."	仮令{たとえ} 年 掛かる{かかって} も 君 は 自分 の 目的 を 成し遂げる{成し遂げ} ねばならない{なければならない}
"The moment he saw me, he grew pale and ran away."	彼 は 私 を 見る と 直ぐに{すぐに} 青ざめる{青ざめて} 逃げ出す{逃げ出した}
How did she ever pass the test?	彼女 は 一体 どうやって 其の{その} 試験 を パス 為る{した} の かしら
I am at the end of my patience.	私 は 辛抱 為る{し} 切れる{きれなく} 成る{なった}
It was a poor choice of words under the circumstances.	こう言う 状況 で は 旨く{うまく} 言葉 が である{でなかった}
"My father was, I think, a little drunk then."	父 は 思う に 彼の{あの} 時{とき} 少し 酔う{酔っていた} のだ と 思う
The conductor of this orchestra is a fine musician.	此の{この} オーケストラ の 指揮者 は 優れる{優れた} 音楽家 です
I usually keep a diary when I travel.	私 は 普通{ふつう} 旅行 為る{する} 時{とき} は 日記を付ける{日記をつける}
"If you watch this TV drama, you will understand the lives of ordinary people in the Edo Age very well."	此の{この} テレビドラマ を 見る{見れば} 江戸時代 の 庶民 の 暮らし振り{暮らしぶり} が 良く{よく} 分かる{わかります}
"Come here, and you can see the sea."	此処{ここ} へ 来る{来} なさい そうすれば 海 が 見える よ
He wetted his towel with water.	彼 は タオル を 水 で 濡らす{濡らした}
I went to the hospital to inquire after his health.	私 は 彼{彼の} 安否 を 尋ねる{尋ね} に 病院 へ 行く{行った}
"The Department of Homeland Security's primary function is the prevention of terrorist attacks occurring within America and, in the extreme case of an attack happening, holding losses to the smallest possible level and swiftly carrying out restoration."	国土安全保障省 の{の} 主要業務 は 米国 内 の テロ攻撃 を 未然 に 防ぐ{防ぎ} 万一 発生 為る{した} 場合 は 被害 を 最小限 に 食い止める{食い止め} 速やか{速やかな} 復旧 を 実施 為る{する} 事{こと} に 有る{ある}
This tree is the tallest and oldest in this forest.	此の{この} 木 は 此の{この} 森 の 中 で 一番 高い{高くて} 古い
She cannot work this machine.	彼女 は 此の{この} 機械 を 動く{動かせない}
Stop resting your elbows on the table.	テーブル に 肘{ひじ} を 突く の は 止める{やめ} なさい
I suppose you're hungry.	君 は 空腹 だ と 思う
We hired a boat by the hour in the park.	私たち は 公園 で ボート を 時間 単位 で 借りる{借りた}
I was full of curiosity about her past.	私 は 彼女{彼女の} 過去 に就いて{について} 好奇心 で 一杯{いっぱい} だ
This is too heavy a box for me to carry.	此れ{これ} は 大変 重い 箱 なので 私 には 運ぶ{運べない}
One of the aircraft's engines cut out.	飛行機 の エンジン の 一つ が 止まる{止まって} 仕舞う{しまった}
I'll be busy next week.	来週 は 忙しい{忙しく} 成る{なり} そう だ
Sachiko is more popular than Judy.	さん は さん よりも 人気 が 有る{あります}
The rotten apple injures its neighbors.	腐る{腐った} 林檎{りんご} は 仲間 を 腐る{腐らせる}
He gave me what little money he had about him.	彼 は 少ない 乍らも{ながらも} 持ち合わせる{持ち合わせていた} 金 を 全部 私 に 呉れる{くれた}
Clans run wild like a storm in a raging sea.	猛り狂う 海 の 嵐 の様に{のように} 一族 が 激しい{激しく} 走る
Can you tell me where the nearest zoo is?	一番 近い 動物園 は 何処{どこ} に 有る{ある} か 教える{教えて} 頂ける{いただけます} か
I am afraid to jump over the ditch.	怖い{恐くて} 其の{その} 溝 を 飛び越す{跳び越せない}
She set him to chopping wood.	彼女 は 彼 に 薪{まき} を 割る{割らせた}
He had already gone.	彼 は もう 行く{行って} 仕舞う{しまった}
His hair has turned white.	彼{彼の} 髪 は 白い{白く} 成る{なった}
I can't think of any other plan.	私 は その他 の 計画 を 思いつく{思い付かない}
An actor has to memorize his lines.	役者 は 台詞 を 暗記 為る{し} ねばならない{なければならない}
It is characteristic of him.	其れ{それ} は 如何にも{いかにも} 彼 らしい
You belong to the next generation.	君たち は 次{次の} 世代 の 人間 だ
I want to come to terms with him.	彼 と 仲直り したい
England established many colonies.	英国 は 多く の 植民地 を 設ける{設けた}
"I love trying out new things, so I always buy products as soon as they hit the store shelves. Of course, half the time I end up wishing I hadn't."	私 って 新しいもの好き で 店 で 新製品 食べ物 を 見る{みる} と 直ぐ{すぐ} 買う{買って} 仕舞う{しまう} でも その内{そのうち} 半分 は 失敗 為る{する} ね
He wore a robe over his pajamas.	彼 は パジャマ の 上 に 部屋着 を 着る{着ていた}
Zen's latest mission is to save the Earth from ecological destruction at the hands of a plant-destroying madman.	の 最新{最新の} 任務 は 緑 の 絶滅 を 図る 狂人 に依る{による} 生態系 破壊 から 地球 を 救う 事{こと} です
Please put down my address in case you forget it.	忘れる と 行けない{いけない} ので 私{私の} 住所 を メモ 為る{して} 下さい{ください}
The whole village was consumed by the fire.	全村 が 火事 で 焼ける{焼けてなく} 成る{なった}
"Whether it rains or shines, I will start tomorrow."	降る{降って} も 晴れる{晴れて} も 明日 は 出発{出発します}
I have few friends.	友人 は 少し しか 居る{いない}
"Hanako made the final payment on her car, and felt very satisfied."	は 車 の 最後 の ローン を 支払う{支払い} 迚も{とても} 満足 為る{した}
"J. Kepler, astronomer and mathematician, made a study of planets and their movements."	天文学者 で 数学者 である{であった} は 惑星 と 其の{その} 運動 に就いて{について} の 研究 を 為る{した}
We have to buy water from Malaysia.	水 を マレーシア から 買う{買わ} 無くてはならない{なくてはならない} のだ{のです}
"I'm looking for a coat. I'm short so the length should be on the short side, and as refined a design as possible."	コート を 探す{探してます} 背が低い ので 丈 は 短め で 成るべく{なるべく} すっきり 為る{した} デザイン の 物{もの} を
We guarantee our products for one year.	保証 は 一年間 です
"If you have a certificate of immunization, please bring it when you come."	若し{もし} 予防接種 証明書 が 有る{あったら} 持つ{お持ち} 下さい{ください}
Riding a horse is really thrilling.	馬 に 乗る 事{こと} は 本当に スリル が 有る{ある}
The cherry trees are in full bloom.	桜 の 木 が 満開 だ
Sugar replaced honey as a sweetener.	甘味料 として 砂糖 が 蜂蜜{はちみつ} に 取って代わる{取って代わった}
I'll never see him again as long as I live.	私 は 生きる{生きている} 間 は 決して 再び 彼 とは 会う{会わない}
He may well be proud of his sons.	彼 が 息子 達 を 自慢 為る{する} の も 尤も{もっとも} だ
Tom takes good care of the birds.	は 小鳥 の 世話 を 良くする{よくする}
It is difficult for him to buy a car.	彼 は 自動車 を 買う 事{こと} が 困難 である
The man had something under his coat.	其の{その} 男 は コート の 裏側 に 何か 持つ{持っていた}
I am tired of eating at the school cafeteria.	学食 に 飽きる{飽きた}
Do I sound in love?	私 が 恋をする{恋をしている} 様に{ように} 聞こえる{聞こえます} か
It is quite a big number.	其れ{それ} は 可也{かなり} 大きな 数 だ
She is dependent on her parents even after her marriage.	彼女 は 結婚 後 でも 両親 に 頼る{頼っている}
I'll look after the children while you go shopping.	貴方{あなた} が 買い物 に 行く{行っている} 間 子供たち{子供達} の 面倒を見る{面倒を見ましょう}
I wish I could go with you today.	今日 貴方{あなた} と 一緒に 行く{行ける} と 良い{いい} のだ{んです} が
"Yeah, it's been a long time."	本当{ほんと} 随分 久しぶり だ{じゃない}
He ought to be ashamed of his ignorance.	彼 は 自分 の 無知 を 恥ずかしい と 思う 可き{べき} だ
He glanced at her.	彼 は 彼女 を ちらっと見る{ちらっと見た}
I was disappointed when I heard that you couldn't come.	貴方{あなた} が お出でになる{お出でになれない} 事 を 聞く{聞いて} がっかり 為る{しました}
They washed themselves in the river.	彼ら は 川 で 体{身体} を 洗う{洗った}
He is trying to keep up with the current of the times.	彼 は 時代の流れ に 遅れる{遅れない} ようにする{ようにしている}
"In short, all our efforts resulted in nothing."	要するに{ようするに} 私たち の 努力 は 全て{すべて} 無 に 帰す{帰した}
Don't walk so fast. I can't keep up with you.	そんなに 早く 歩く{歩かないで} 付いて行ける{ついていけない} わ
They entered his name on the list.	彼ら は 彼{彼の} 名前 を 名簿 に 乗せる{載せた}
"You're interested in this sort of thing? ""No, not really."""	こう言う{こういう} の 興味 有る{ある} のだ{のです} か そう言う 訳じゃない{わけじゃありません}
Captain Cook thanked the natives for their hospitality.	クック 船長 は 其の{その} 原住民 達 の 手厚い 持て成し{もてなし} に 感謝 為る{した}
"I looked in the direction of the window, but didn't see anything."	窓 の 方 へ 目を向ける{目を向けた} が 何も{なにも} 見える{見えなかった}
It is a childish act.	其れ{それ} は 子供じみた 行い です
The frequency of crime in the town is high.	此の{この} 町 に於ける{における} 犯罪 の 発生率 は 高い
"The rain hasn't stopped yet, has it?"	雨 は 未だ{まだ} 止む{やんでいません} ね
I like all of them.	彼ら が 皆{みんな} 好き だ
There is little coffee left in the pot.	ポット には 殆ど{ほとんど} 珈琲{コーヒー} は 残る{残っていない}
I couple this song with his name.	私 は 此の{この} 歌 を 聞く と 彼{彼の} 名 を 連想 為る{する}
"Since I was thirsty, I drank water."	喉が乾く{のどが渇いた} ので 水 を 飲む{飲んだ}
Three boys came in. I spoke to the boy who seemed to be the oldest.	少年 が 三人{３人} 入る{入って} 来る{きた} 私 は 最も 年上 と 思う{思われる} 少年 に 話しかける{話しかけた}
I have caught a bad cold.	悪い 風邪をひく{かぜをひきました}
You shouldn't have gone to such a dangerous place.	そんな 危険{危険な} 所 に 行く 可き{べき} だ{ではなかった} のに
I have known him a long time.	私 は 彼 と 知り合う{知り合って} 長い
A broad river runs through the city.	大きな 川 が 其の{その} 市 を 貫く{貫いて} 流れる{流れている}
That's a nice T-shirt.	素敵{すてきな} Ｔシャツ です ね
She is more pretty than beautiful.	彼女 は 美しい と言うより 可愛い{かわいい}
To what degree can we trust him?	私たち は 彼 を 何の{どの} 程度 迄{まで} 信頼 す可き{すべき} か
Excuse me. That fare is not enough.	もしもし 料金 不足 です よ
"May I take this umbrella? ""No, you may not."""	此の{この} 傘 を 持っていく{持っていって} も 良い{よい} ですか 否{いいえ} 行けない{いけません}
"The results he has got are, in the main, satisfactory."	彼 が 得る{得た} 結果 は 大部分 は 満足 す可き{すべき} ものである
A tiger is bigger and stronger than a cat.	虎{トラ} は 猫 より 大きい{大きくて} 強い
None of these offices have air-conditioning.	此処{ここ} の 事務所 には 何処にも{どこにも} 冷房 が 無い{ない}
I grew tomatoes last year and they were very good.	去年 トマト を 作る{作った} が 迚も{とても} 美味しい{おいしかった}
Prophets have been forecasting the end of the world for centuries.	預言者 は 何 世紀 物{もの} 間 この世{この世の} 終わる{終わり} を 予言 為る{し} 続ける{続けて} 来る{きた}
I am convinced of the truth that he was in love with my sister.	私 は 彼 が 私{私の} 姉 を 愛する{愛している} と言うのは{というのは} 本当 だ と 確信 為る{している}
Have you got a red pencil?	赤 鉛筆 を 持つ{持っています} か
He succumbed to authority.	彼 は 権力 に 屈する{屈した}
She attended the meeting.	彼女 は 其の{その} 会合 に 出席 為る{した}
It is surprising how little she knows of the world.	彼女 が 如何に{いかに} 世間 を 知る{知らない} か 驚く 程{ほど} だ
He told me that he was very tired then.	彼 は 私 に 今 大変 疲れる{疲れている} と 言う{いった}
Are we humans alone in this infinite universe?	此の{この} 果てしない 宇宙 に 居る{いる} の は 私たち 人類 丈{だけ} ですか
I'm going to have my eyes examined.	私 は 目 の 検査 を 為る{して} 貰う{もらう} 積もり{つもり} だ
He said the words in a very small voice.	彼 の 其の{その} 言葉 を 迚も{とても} 小さな 声 で 言う{言った}
Grandma is three and a half times your age.	祖母 の 年齢 は 貴方{あなた} の 倍 半 である
We soon believe what we desire.	願う{願っている} 事{こと} は 直ぐに{すぐに} 信じる
They must have made a mistake.	彼ら は 誤る{誤った} に違いない
He made an admission that he had lied.	彼 は 嘘をつく{うそをついた} と 認める{みとめた}
"At my joke, the audience burst into laughter."	私{私の} 冗談 に 聴衆 は どっと 笑い出す{笑い出した}
The Earth is a small but beautiful planet.	地球 は 小さい けど 美しい 惑星 だ
I want nothing but health.	私 が 欲しい の は 健康 丈{だけ} だ
He's dry and unemotional.	彼 は ドライ ですから ね
"Surpassing labour intensive, capital intensive, the age has shifted greatly to knowledge intensive."	労働集約 資本集約 を 越える{超えて} 時代 は ナレッジ インテンシブ へ と 大きく シフト 為る{している}
"By the way, where do you live?"	所で{ところで} 君 は 何処{どこ} に 住む{住んでいる} の
You are making history.	皆さん は 歴史 を 作る{つくっています}
We should look into the problem.	私たち は 其の{その} 問題 を 調査 為る{する} 可き{べき} だ
We caught the thief.	泥棒 を 捕まえる{捕まえた}
The scholar carried out his lifework at the age of seventy.	其の{その} 学者 は 才 で ライフワーク を 完成 為る{した}
I hope today's ball game won't be canceled.	今日 の フットボール の 試合 が 中止 になる{になら} 無ければ{なければ} 良い{いい} の{ん} だ が
He looks just like his mother.	彼 は 全く{まったく} 母親 に そっくり だ
A start should be made at once.	直ぐ{すぐ} 始める{始め} ねばならない{なければならない}
She is gentle with children.	彼女 は 子供たち{子供達} には 優しい{やさしい}
He was very badly situated.	彼 は 苦境 に 会う{会った}
We got up at dawn.	私たち は 夜明け に 起きる{起きた}
He has got as many as fifty novels written in English.	彼 は 冊 も の 英語 で 書く{書かれた} 小説 を 持つ{持っている}
I'm sure it was just a terrible accident.	此れ{これ} は 屹度{きっと} 恐ろしい 事故 に 違い 有る{ありません}
I never imagined we'd be talking about this topic today.	今日 此の{この} 話題になる とは 全く 予期 為る{していませんでした}
The teacher and I sat face to face.	先生 と 私 は 向かい合う{向かい合って} 座る{座っていた}
I will have been studying for five years next February.	私 は 今度 の 二月{２月} で 年間 勉強{勉強している} 事になる{ことになります}
He scattered the coins of the money-changers and overturned their table.	両替人 の 金 を 散らす{散らし} 其の{その} 台 を 倒す{倒した}
I am pleased with my new house.	私 は 新しい 家 が 気に入る{気に入っている}
He grew up to be an engineer.	彼 は 成長 為る{して} 技師 になる{になった}
Then a good idea came into my mind.	其の{その} 時{とき} 良い 考え が 私{私の} 心に浮かぶ{心に浮かんだ}
He is a complete stranger to me.	彼 は 私{私の} 全て{すべて} を 知る{知らない} 人 だ
We shouted for help at the tops of our voices.	私たち は 声 を 振り絞る{振り絞って}  助け を 求める{求めた}
Today cars are so popular that we assume everyone has one.	今日 車 は 迚も{とても} 普及 為る{している} ので 私たち{私達} は 誰でも 車 を 持つ{持っている} と 思い込む{思い込んでいる}
Let's wait until he wakes up.	彼 が 目を覚ます 迄{まで} 待つ{待ちましょう}
We sail for San Francisco on Monday.	私たち の 船 は 月曜日 に サンフランシスコ へ 向ける{向けて} 出港 為る{します}
A is 5 times as long as B.	は の 五倍{５倍} の 長さ が 有る{ある}
"I have little, if any time that I can call my own."	私 は 自分 の 時間 と言うもの{というもの} を 殆ど{ほとんど} 持つ{持っていない}
"If you are going to the safari park, take the No.5 bus."	サファリパーク に いらっしゃる なら 番 の バス です
He showered abuse on me.	彼 は 私 に 毒舌 を 浴びせる{浴びせた}
I want to make her acquaintance.	私 は 彼女 と 近づく{近づき} になる{になり} たい
He got tired soon.	彼 は 直ぐに{すぐに} 疲れる{疲れた}
This is the place where she works as a secretary.	此処{ここ} が 彼女 が 秘書 として 働く{働いている} 所 です
But he likes the long school holidays.	でも 彼 は 長い 学校 の 休み が 好き なのだ{なんだ} よ
Could you tell me your present address?	貴方{あなた} の 現住所 を 私 に 言う{言って} 下さる{下さいます} か
You must pay attention to what your teacher says.	先生 の 言う 事{こと} に 注意 を 為る{し} ねばならない{なければならない}
Would you mind putting her on the phone?	彼女 を 電話 に 出す{出して} 頂ける{頂けません} か
That word describes it perfectly.	其の{その} 言葉 が 其れ{それ} を 説明 為る{する} には ぴったり だ ね
He always seems to be living rent-free in somebody's house.	彼 は 何時も{いつも} 何処か{どこか} の 家 に 居候 為る{している}
Man seems to need drama as much as he needs religion.	人類 は 宗教 を 必要とする の と 同じくらい に ドラマ を 必要とする 様だ{ようだ}
There was no one in the room.	部屋 の 中 には 誰も 居る{いませんでした}
I will look into the matter.	其の{その} 件 に就いて{について} 調べる{調べて} 見る{みましょう}
I was stupid to make a mistake like that.	そのよう{そのような} 間違い を 為る{する} なんて 私 は 愚か だ{だった}
Why do you need it?	どんな 事{こと} で 其れ{それ} が 必要 ですか
It is said that global warming is directly related to carbon dioxide emissions.	地球温暖化 は 二酸化炭素 の 排出 と 直接関係 が 有る{ある} と言われる{と言われている}
We need twenty eggs all told.	全部 で 個 の 卵 が 必要 です
Tom puts too much sugar in his tea.	は 紅茶 の 中 へ 砂糖 を 入れる{いれ} 過ぎる{すぎます}
I will make every effort to get it.	私 は 其れ{それ} を 得る 為に{ために} 有らゆる{あらゆる} 努力 を 為る{します}
A Mr Sakaki has come to see you.	さん とか 言う{いう} 方 が 見える{お見え} になる{になりました}
Yokohama is the city in Japan with the second largest population.	横浜 は 日本 で 番目 に 人口 が 多い 市 だ
The job offer still stands.	彼の{あの} 仕事{仕事の} 口 は 未だ{まだ} 有る{ある} よ
I have a nice present to give you.	君 に 良い{いい} 贈り物 を 上げる{あげましょう}
This may be of use to you.	此れ{これ} は 貴方{あなた} の 役に立つ かも知れない{かもしれない}
He gave me a smile of recognition.	彼 は 私 の{の} 事{こと} が 分かる{わかって} 微笑む{ほほえんだ}
"He asked me whether she had given me the book, or if I had bought it myself."	彼女 が 私 に 其の{その} 本 を 呉れる{くれた} の か 其れ共{それとも} 私 が 自分で 其れ{それ} を 買う{買った} の か と 彼 は 私 に 尋ねる{尋ねた}
Food must be chewed well to be digested properly.	良く{よく} 消化 為る{する} 為に{ために} は 食べ物 を 十分 噛む{かま} ねばならない
He always reads a magazine.	彼 は 何時も{いつも} 雑誌 を 読む
He closed the door suddenly.	彼 は バタン{ばたんと} ドア を 閉める{閉めた}
"I have tried for hours to remember where I put my keys, but it has completely escaped me."	何時間 も の 間 何処{どこ} に 鍵 を 置く{置いた} の か 思い出す{思い出そう} とする{とした} が 全然 思い出す{思い出せなかった}
It's difficult to evaluate his ability.	彼{彼の} 能力 を 評価 為る{する} 事{こと} は 難しい
His story was highly amusing to us.	彼{彼の} 話 は 迚も{とても} 面白い{面白かった}
I did smoke when I was young.	私 は 若い頃{若いころ} 煙草を吸う{煙草を吸った}
He succeeded in solving the question.	彼 は 旨く{うまく} 其の{その} 問題 が 解ける{解けた}
May I ask some questions?	幾つか{いくつか} 質問 為る{して} も 良い{いい} ですか
I'd like to buy this doll.	此の{この} 人形 が 欲しい のだ{のです} が
He apologized for having offended her.	彼 は 彼女 を 怒る{怒らせた} 事{こと} を 詫びる{詫びた}
Which house did you live in?	何の{どの} 家 に 住む{住んでいた} のだ{のです} か
He has very little interest in his children.	彼 は 自分 の 子供たち{子供達} に 殆ど{ほとんど} 関心 が 無い{ない}
I wonder if it would be possible for you to introduce me to Mr Harrison of PC Interactive Co. Ltd?	インタラクティブ 社 の 氏 を 御{ご} 紹介 為る{して} 頂ける{いただけません} でしょうか
I like pro wrestling.	私 は プロレス が 好き です
I remember singing that song long ago.	昔{昔の} 彼の{あの} 歌{うた} を 歌う{歌った} 事{こと} を 覚える{覚えています}
For all her riches she is not happy.	彼女 は あんなに 御{お} 金持ち だ{な} の{の} に 幸せ では無い{ではない}
This play has no humor in it.	此の{この} 芝居 には ユーモア が 無い{ない}
In Japan people take off their shoes when they enter a house.	日本 で は 家 に 入る 時 に 靴 を 脱ぐ
Who is she speaking to?	彼女 は 誰 に 話しかける{話しかけている} のだ{のです} か
Have the devil's own luck.	悪運 が 強い
She started dancing when she was eight.	彼女 は 八 才{歳} の 時{とき} に ダンス を 始める{始めた}
There is little furniture in my house.	私{私の} 家 には 家具 が 殆どない{ほとんどない}
At times I feel sad.	時折 私 は 悲しい{悲しく} 成る{なる}
I cannot but object to his proposal.	私 は 彼{彼の} 提案 に 反対 せざるを得ない
This car is always breaking down lately.	此の{この} 車 は 近頃{近ごろ} 故障 許り{ばかり} 為る{している}
You have infinite possibilities as an artist.	貴方{あなた} は 芸術家 として の 無限{無限の} 可能性 を 秘める{秘めている}
He crossed me up.	彼 は 私 を 裏切る{裏切った}
You must take into account the fact that she was ill.	貴方{あなた} は 彼女 が 病気 だ{だった} と 言う{いう} 事{こと} を 考慮に入れる{考慮に入れ} ねばならない{なければならない}
"I missed the last bus, and was obliged to walk home in the rain."	私 は 終バス に 乗り遅れる{乗り遅れて} 家{うち} 迄{まで} 雨 の 中 を 歩く{歩か} ねばならない{なければならなかった}
Don't rush into the situation until you have all the details; hold your horses until you know where you are going.	詳しい 事{こと} が 全部 分かる{わかる} 迄{まで} は 慌てる{あわてて} その場 に 踏み込む{ふみこむ} な 見当がつく 迄{まで} は 慎重{慎重に} 構える{かまえて} 居る{おれ}
People have eaten with their fingers from the beginning of history.	人類 は 太古 の 昔 から 指 を 用いる{用いて} 食べ物 を 食する{食して} 来る{きた} の である
I think you had better stick to your present job.	貴方{あなた} は 現在 の 仕事 を 続ける{続けた} 方がいい と 思う{思います}
Will you help me for a minute?	一寸{ちょっと} 私 を 助ける{たすけて} 呉れる{くれません} か
"Oh, the driver is a maniac."	なあ 此の{この} 運転士 いかれる{いかれてる} よ
